order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34203601,1-Mar-22,789203,25891601,110,4-Mar-22,4-Mar-22,110,1,1,1
FMR32320302,1-Mar-22,789320,25891203,347,2-Mar-22,2-Mar-22,347,1,1,1
FMR33320501,1-Mar-22,789320,25891203,187,3-Mar-22,3-Mar-22,150,0,1,0
FMR34220601,1-Mar-22,789220,25891203,235,4-Mar-22,4-Mar-22,235,1,1,1
FMR33703603,1-Mar-22,789703,25891203,176,3-Mar-22,3-Mar-22,176,1,1,1
FMR33721603,1-Mar-22,789721,25891203,345,3-Mar-22,3-Mar-22,345,1,1,1
FMR33420203,1-Mar-22,789420,25891203,138,3-Mar-22,6-Mar-22,138,1,0,0
FMR34420402,1-Mar-22,789420,25891203,381,4-Mar-22,5-Mar-22,381,1,0,0
FMR32403401,1-Mar-22,789403,25891203,348,2-Mar-22,2-Mar-22,348,1,1,1
FMR34121203,1-Mar-22,789121,25891203,480,4-Mar-22,6-Mar-22,480,1,0,0
FMR32501601,1-Mar-22,789501,25891203,478,2-Mar-22,2-Mar-22,478,1,1,1
FMR34501203,1-Mar-22,789501,25891203,491,4-Mar-22,4-Mar-22,491,1,1,1
FMR34102602,1-Mar-22,789102,25891203,407,4-Mar-22,4-Mar-22,387,0,1,0
FMR33902203,1-Mar-22,789902,25891203,299,3-Mar-22,3-Mar-22,299,1,1,1
FMR34903603,1-Mar-22,789903,25891203,329,4-Mar-22,4-Mar-22,329,1,1,1
FMR32421203,1-Mar-22,789421,25891203,441,2-Mar-22,3-Mar-22,419,0,0,0
FMR33421203,1-Mar-22,789421,25891203,104,3-Mar-22,6-Mar-22,99,0,0,0
FMR33402203,1-Mar-22,789402,25891203,491,3-Mar-22,5-Mar-22,491,1,0,0
FMR33621603,1-Mar-22,789621,25891203,138,3-Mar-22,3-Mar-22,138,1,1,1
FMR34520301,1-Mar-22,789520,25891203,172,4-Mar-22,4-Mar-22,155,0,1,0
FMR33702302,1-Mar-22,789702,25891302,38,3-Mar-22,3-Mar-22,30,0,1,0
FMR32320302,1-Mar-22,789320,25891302,54,2-Mar-22,2-Mar-22,54,1,1,1
FMR34603302,1-Mar-22,789603,25891302,37,4-Mar-22,4-Mar-22,37,1,1,1
FMR34721502,1-Mar-22,789721,25891302,63,4-Mar-22,5-Mar-22,60,0,0,0
FMR33621302,1-Mar-22,789621,25891302,56,3-Mar-22,4-Mar-22,56,1,0,0
FMR32520302,1-Mar-22,789520,25891302,54,2-Mar-22,3-Mar-22,49,0,0,0
FMR33520601,1-Mar-22,789520,25891302,42,3-Mar-22,5-Mar-22,34,0,0,0
FMR34520302,1-Mar-22,789520,25891302,23,4-Mar-22,5-Mar-22,22,0,0,0
FMR32420602,1-Mar-22,789420,25891302,49,2-Mar-22,4-Mar-22,49,1,0,0
FMR32902402,1-Mar-22,789902,25891302,70,2-Mar-22,2-Mar-22,70,1,1,1
FMR32521302,1-Mar-22,789521,25891302,34,2-Mar-22,3-Mar-22,34,1,0,0
FMR32720302,1-Mar-22,789720,25891302,49,2-Mar-22,2-Mar-22,49,1,1,1
FMR33401603,1-Mar-22,789401,25891302,40,3-Mar-22,3-Mar-22,40,1,1,1
FMR33121302,1-Mar-22,789121,25891302,26,3-Mar-22,3-Mar-22,26,1,1,1
FMR32903403,1-Mar-22,789903,25891302,42,2-Mar-22,2-Mar-22,40,0,1,0
FMR32422302,1-Mar-22,789422,25891302,67,2-Mar-22,5-Mar-22,54,0,0,0
FMR32301302,1-Mar-22,789301,25891302,29,2-Mar-22,5-Mar-22,29,1,0,0
FMR33721603,1-Mar-22,789721,25891301,59,3-Mar-22,3-Mar-22,59,1,1,1
FMR32420403,1-Mar-22,789420,25891301,87,2-Mar-22,2-Mar-22,87,1,1,1
FMR33420301,1-Mar-22,789420,25891301,23,3-Mar-22,5-Mar-22,18,0,0,0
FMR33320501,1-Mar-22,789320,25891301,46,3-Mar-22,3-Mar-22,46,1,1,1
FMR33122301,1-Mar-22,789122,25891301,29,3-Mar-22,5-Mar-22,26,0,0,0
FMR34101301,1-Mar-22,789101,25891301,76,4-Mar-22,4-Mar-22,76,1,1,1
FMR33421301,1-Mar-22,789421,25891301,75,3-Mar-22,5-Mar-22,67,0,0,0
FMR34421301,1-Mar-22,789421,25891301,47,4-Mar-22,4-Mar-22,45,0,1,0
FMR34103403,1-Mar-22,789103,25891301,71,4-Mar-22,4-Mar-22,67,0,1,0
FMR32121301,1-Mar-22,789121,25891301,72,2-Mar-22,3-Mar-22,65,0,0,0
FMR34203601,1-Mar-22,789203,25891301,100,4-Mar-22,4-Mar-22,100,1,1,1
FMR33402303,1-Mar-22,789402,25891301,94,3-Mar-22,3-Mar-22,94,1,1,1
FMR34221301,1-Mar-22,789221,25891301,44,4-Mar-22,4-Mar-22,44,1,1,1
FMR34202301,1-Mar-22,789202,25891301,45,4-Mar-22,4-Mar-22,45,1,1,1
FMR32522301,1-Mar-22,789522,25891301,46,2-Mar-22,3-Mar-22,46,1,0,0
FMR34522403,1-Mar-22,789522,25891301,47,4-Mar-22,5-Mar-22,38,0,0,0
FMR34520301,1-Mar-22,789520,25891301,38,4-Mar-22,4-Mar-22,34,0,1,0
FMR33301301,1-Mar-22,789301,25891301,92,3-Mar-22,3-Mar-22,83,0,1,0
FMR34303602,1-Mar-22,789303,25891301,44,4-Mar-22,4-Mar-22,40,0,1,0
FMR33220603,1-Mar-22,789220,25891301,75,3-Mar-22,3-Mar-22,75,1,1,1
FMR32422301,1-Mar-22,789422,25891301,63,2-Mar-22,2-Mar-22,63,1,1,1
FMR33422301,1-Mar-22,789422,25891301,63,3-Mar-22,5-Mar-22,60,0,0,0
FMR34303602,1-Mar-22,789303,25891102,352,4-Mar-22,4-Mar-22,317,0,1,0
FMR34401102,1-Mar-22,789401,25891102,369,4-Mar-22,3-Mar-22,369,1,1,1
FMR34520302,1-Mar-22,789520,25891102,373,4-Mar-22,5-Mar-22,336,0,0,0
FMR32121102,1-Mar-22,789121,25891102,397,2-Mar-22,1-Mar-22,377,0,1,0
FMR33902203,1-Mar-22,789902,25891102,494,3-Mar-22,3-Mar-22,395,0,1,0
FMR34902102,1-Mar-22,789902,25891102,465,4-Mar-22,5-Mar-22,465,1,0,0
FMR32503401,1-Mar-22,789503,25891102,459,2-Mar-22,2-Mar-22,367,0,1,0
FMR32720302,1-Mar-22,789720,25891102,402,2-Mar-22,2-Mar-22,402,1,1,1
FMR33720202,1-Mar-22,789720,25891102,483,3-Mar-22,3-Mar-22,483,1,1,1
FMR34321602,1-Mar-22,789321,25891102,368,4-Mar-22,4-Mar-22,331,0,1,0
FMR32103503,1-Mar-22,789103,25891102,307,2-Mar-22,2-Mar-22,246,0,1,0
FMR32421102,1-Mar-22,789421,25891102,309,2-Mar-22,4-Mar-22,278,0,0,0
FMR34421301,1-Mar-22,789421,25891102,412,4-Mar-22,4-Mar-22,391,0,1,0
FMR34320102,1-Mar-22,789320,25891102,432,4-Mar-22,5-Mar-22,432,1,0,0
FMR32420102,1-Mar-22,789420,25891102,310,2-Mar-22,5-Mar-22,310,1,0,0
FMR32702601,1-Mar-22,789702,25891102,478,2-Mar-22,2-Mar-22,454,0,1,0
FMR34220601,1-Mar-22,789220,25891102,473,4-Mar-22,4-Mar-22,473,1,1,1
FMR34201202,1-Mar-22,789201,25891102,372,4-Mar-22,4-Mar-22,353,0,1,0
FMR32102102,1-Mar-22,789102,25891102,496,2-Mar-22,1-Mar-22,496,1,1,1
FMR34122102,1-Mar-22,789122,25891102,443,4-Mar-22,6-Mar-22,399,0,0,0
FMR33621102,1-Mar-22,789621,25891102,480,3-Mar-22,6-Mar-22,480,1,0,0
